Route ID,Departure City,Arrival City,Departure Time,Arrival Time,Train Type,Days of Operation,First Class ticket rate (in euro),Second Class ticket rate (in euro)
R00250,Bergamo,Brescia,19:35,23:16,Intercités,"Tue,Thu",86,56
R00253,Bergamo,Como,9:55,13:30,ICE,Sat-Sun,117,73
R00255,Bergamo,Milan,12:50,15:37,InterCity,"Tue,Thu",59,41
R00257,Bergamo,Verona,14:30,16:56,Frecciarossa,Fri-Sun,92,57
R00258,Bergamo,Verona,8:00,10:17,IC,Fri-Sun,49,36
R00260,Bergen,Drammen,17:00,19:59,Frecciarossa,Mon-Fri,96,60
R00262,Bergen,Helsinki,19:45,22:45,EuroCity,"Tue,Thu",72,48
R00263,Bergen,Helsinki,10:10,11:59,Italo,Mon-Fri,77,46
R00267,Bergen,Stavanger,9:00,13:07,IC,Sat-Sun,112,75
R00270,Bergen,Trondheim,15:35,17:51,IC,"Tue,Thu",53,39
R00271,Bergen,Trondheim,9:10,11:11,Railjet,"Mon,Wed,Fri",84,51
R00274,Berlin,Amsterdam,5:10,14:10,RE,Mon-Fri,115,89
R00275,Berlin,Dresden,6:45,8:03,Eurostar,"Mon,Wed,Fri",58,35
R00276,Berlin,Dresden,8:10,9:56,Railjet,"Tue,Thu",48,29
R00279,Berlin,Leipzig,19:55,05:02 (+1d),Nightjet,Fri-Sun,265,160
R00280,Berlin,Leipzig,18:15,20:20,TGV,"Mon,Wed,Fri",79,55
R00284,Berlin,Prague,10:45,16:02,Thalys,"Mon,Wed,Fri",205,138
R00291,Bern,Basel,12:35,15:20,Intercités,"Mon,Wed,Fri",57,44
R00292,Bern,Basel,14:45,16:45,Railjet,Mon-Fri,50,34
R00294,Bern,Geneva,15:10,18:01,RJX,"Mon,Wed,Fri",100,62
R00295,Bern,Geneva,9:30,12:44,Railjet,Sat-Sun,87,61
R00296,Bern,Lausanne,17:25,19:49,RJX,Fri-Sun,92,59
R00299,Bern,Zurich,12:40,14:14,AVE,"Mon,Wed,Fri",44,31
R00300,Bern,Zurich,17:25,21:04,RegioExpress,"Tue,Thu",55,40
R00314,Bilbao,Oviedo,7:05,8:44,EuroCity,"Tue,Thu",42,30
R00315,Bilbao,Oviedo,9:45,11:45,InterCity,Fri-Sun,42,32
R00317,Bilbao,San Sebastián,15:55,19:20,Intercités,"Mon,Wed,Fri",81,60
R00318,Bilbao,San Sebastián,15:25,18:41,Thalys,Fri-Sun,109,70
R00320,Bilbao,Santander,13:05,14:52,TGV,Mon-Fri,43,30
R00321,Bilbao,Santander,10:55,14:20,EuroCity,"Mon,Wed,Fri",81,55
R00323,Bilbao,Zaragoza,15:50,19:29,ICE,Sat-Sun,108,75
R00324,Bilbao,Zaragoza,15:40,17:52,EuroCity,Fri-Sun,46,35
R00330,Birmingham,Brussels,18:15,20:34,AVE,"Tue,Thu",78,57
R00332,Birmingham,Leeds,11:15,13:01,ICE,Fri-Sun,52,37
R00333,Birmingham,Leeds,12:20,15:18,RJX,Mon-Fri,106,73
R00335,Birmingham,Manchester,13:10,17:27,RE,"Tue,Thu",50,40
R00339,Bochum,Bremen,8:20,11:18,Thalys,Fri-Sun,118,74
R00341,Bochum,Dortmund,11:05,12:45,Frecciarossa,"Tue,Thu",85,54
R00342,Bochum,Dortmund,17:20,18:46,AVE,Mon-Fri,64,40
R00344,Bochum,Essen,13:00,14:23,Thalys,Mon-Fri,57,36
R00348,Bochum,Hannover,15:30,18:05,InterCity,"Tue,Thu",75,55
R00350,Bologna,Bolzano,6:50,11:36,RegioExpress,Fri-Sun,63,53
R00351,Bologna,Bolzano,9:10,11:48,ICE,"Mon,Wed,Fri",75,52
R00357,Bologna,Milan,18:10,20:21,TGV,"Tue,Thu",96,63
R00358,Bologna,Milan,18:20,21:55,RegioExpress,Fri-Sun,71,52
R00360,Bologna,Modena,9:20,12:37,Intercités,Sat-Sun,72,47
R00361,Bologna,Modena,15:55,17:23,Frecciarossa,"Mon,Wed,Fri",59,42
R00362,Bologna,Parma,8:25,11:24,AVE,"Mon,Wed,Fri",102,66
R00366,Bologna,Trento,19:30,21:27,AVE,Fri-Sun,79,48
R00367,Bologna,Trento,15:45,18:19,Italo,Mon-Fri,97,61
R00369,Bolzano,Bologna,8:45,12:54,RegioExpress,"Mon,Wed,Fri",64,53
R00372,Bolzano,Modena,19:45,04:06 (+1d),Nightjet,Daily,293,173
R00374,Bolzano,Trento,14:35,18:16,Intercités,Sat-Sun,78,56
R00377,Bolzano,Venice,5:00,6:29,Railjet,Mon-Fri,66,43
R00378,Bolzano,Venice,15:50,19:39,EuroCity,Mon-Fri,105,69
R00384,Bonn,Dortmund,13:35,17:43,TER,Mon-Fri,64,51
R00388,Bonn,Heidelberg,6:55,8:53,RJX,Fri-Sun,59,44
R00389,Bonn,Heidelberg,19:20,22:15,Italo,Fri-Sun,103,66
R00390,Bordeaux,La Rochelle,15:45,18:03,RE,"Tue,Thu",39,28
R00391,Bordeaux,La Rochelle,7:40,10:45,Railjet,"Mon,Wed,Fri",107,64
R00399,Bordeaux,Madrid,17:10,19:50,ICE,Sat-Sun,120,86
R00400,Bordeaux,Paris,15:20,18:30,Eurostar,"Tue,Thu",118,73
R00406,Bordeaux,Tours,12:35,15:57,InterCity,"Tue,Thu",91,70
R00407,Bordeaux,Tours,10:45,16:53,RegioExpress,Sat-Sun,96,78
R00409,Bratislava,Brno,12:55,15:14,Frecciarossa,Fri-Sun,120,71
R00410,Bratislava,Brno,12:25,14:21,TGV,"Tue,Thu",90,60
R00412,Bratislava,Budapest,15:25,18:14,InterCity,Sat-Sun,55,39
R00413,Bratislava,Budapest,8:20,10:02,ICE,Fri-Sun,57,34
R00421,Bratislava,Vienna,10:55,12:46,Eurostar,"Tue,Thu",68,50
R00422,Bratislava,Vienna,8:00,10:27,EuroCity,Fri-Sun,62,41
R00436,Bremen,Bochum,8:45,12:48,InterCity,Fri-Sun,79,55
R00437,Bremen,Bochum,14:10,17:32,ICE,"Tue,Thu",136,83
R00438,Bremen,Hamburg,12:55,15:22,EuroCity,Sat-Sun,50,33
R00441,Bremen,Hannover,10:30,12:42,EuroCity,Sat-Sun,50,36
R00444,Bremen,Kiel,12:15,14:14,Frecciarossa,"Tue,Thu",90,54
R00445,Bremen,Kiel,19:05,07:30 (+1d),Nightjet,Mon-Fri,353,231
R00447,Brescia,Bergamo,16:35,17:49,Railjet,"Mon,Wed,Fri",61,38
R00448,Brescia,Bergamo,14:50,18:09,RJX,Sat-Sun,120,73
R00449,Brescia,Como,12:45,15:07,Frecciarossa,"Mon,Wed,Fri",68,47
R00453,Brescia,Verona,11:20,15:39,TER,"Tue,Thu",64,52
R00454,Brescia,Verona,17:45,19:47,RegioExpress,Mon-Fri,33,27
R00458,Brescia,Vicenza,18:10,19:14,Italo,Sat-Sun,39,28
R00460,Brest,Nantes,15:15,17:36,Eurostar,"Tue,Thu",94,68
R00461,Brest,Nantes,18:55,21:34,RJX,Sat-Sun,76,56
R00463,Brest,Rennes,17:35,20:55,AVE,Mon-Fri,96,70
R00464,Brest,Rennes,17:45,19:07,TGV,Sat-Sun,50,34
R00467,Brighton,Dublin,12:05,14:25,AVE,"Tue,Thu",74,51
R00468,Brighton,Dublin,6:10,7:04,TGV,Mon-Fri,43,29
R00470,Brighton,Portsmouth,10:30,12:12,Thalys,"Tue,Thu",85,57
R00472,Brighton,Reading,12:40,15:53,EuroCity,Fri-Sun,65,45
R00476,Brighton,Southampton,13:35,16:44,AVE,Fri-Sun,92,58
R00478,Brindisi,Bari,15:55,17:30,Thalys,Mon-Fri,66,41
R00479,Brindisi,Bari,17:25,19:38,IC,Mon-Fri,70,46
R00481,Brindisi,Reggio Calabria,19:45,06:49 (+1d),Nightjet,"Tue,Thu",443,234
R00483,Brindisi,Salerno,11:30,13:28,IC,Sat-Sun,37,29
R00484,Brindisi,Salerno,9:20,13:06,Intercités,"Mon,Wed,Fri",73,49
R00487,Brindisi,Taranto,18:35,22:27,TER,"Tue,Thu",46,35
R00488,Brindisi,Taranto,9:55,12:36,AVE,Mon-Fri,101,73
R00490,Bristol,Cardiff,15:30,18:30,EuroCity,"Tue,Thu",83,55
R00491,Bristol,Cardiff,17:05,19:13,Thalys,"Mon,Wed,Fri",98,59
R00493,Bristol,Edinburgh,9:10,13:54,RegioExpress,"Tue,Thu",74,54
R00494,Bristol,Edinburgh,8:10,11:17,TGV,Sat-Sun,87,63
R00497,Bristol,Glasgow,19:30,20:45,Thalys,Daily,49,32
R00498,Bristol,Swansea,8:00,11:24,Railjet,"Mon,Wed,Fri",117,69
R00499,Bristol,Swansea,6:45,9:06,RE,"Tue,Thu",51,37
R00501,Brno,Bratislava,19:55,23:05,Italo,"Mon,Wed,Fri",116,70
R00503,Brno,Ostrava,16:15,19:15,Railjet,Sat-Sun,113,80
R00511,Bruges,Amsterdam,9:25,12:56,InterCity,Fri-Sun,63,45
R00512,Bruges,Amsterdam,13:00,15:48,TGV,Fri-Sun,99,60
R00513,Bruges,Antwerp,7:20,9:06,Italo,"Mon,Wed,Fri",61,45
R00516,Bruges,Ghent,12:40,14:49,Thalys,Daily,52,37
R00523,Brussels,Amsterdam,17:20,19:04,TER,Fri-Sun,26,21
R00524,Brussels,Amsterdam,13:05,14:25,InterCity,"Mon,Wed,Fri",36,24
R00525,Brussels,Antwerp,9:20,11:14,Thalys,"Tue,Thu",88,55
R00526,Brussels,Antwerp,12:55,15:15,Italo,Mon-Fri,74,48
R00528,Brussels,Birmingham,15:40,17:28,ICE,Mon-Fri,62,43
R00529,Brussels,Birmingham,5:50,8:37,Italo,Mon-Fri,90,66
R00532,Brussels,Cologne,9:20,12:30,RegioExpress,"Mon,Wed,Fri",48,35
R00533,Brussels,Cologne,12:15,16:11,TER,Mon-Fri,53,41
R00535,Brussels,Ghent,18:35,20:04,InterCity,Fri-Sun,43,30
R00536,Brussels,Ghent,17:05,18:37,Intercités,Sat-Sun,43,31
R00539,Brussels,Lille,16:40,19:20,Eurostar,"Mon,Wed,Fri",75,56
R00540,Brussels,Lille,15:15,17:21,ICE,"Tue,Thu",105,65
R00542,Brussels,London,9:45,18:32,RegioExpress,Daily,106,85
R00543,Brussels,London,11:35,15:30,AVE,Daily,136,94
R00545,Brussels,Paris,12:05,13:38,Intercités,Fri-Sun,33,22
R00546,Brussels,Paris,15:10,17:46,InterCity,Sat-Sun,53,37
R00551,Bucharest,Burgas,12:00,14:08,ICE,Fri-Sun,52,34
R00552,Bucharest,Burgas,9:05,12:43,Intercités,"Tue,Thu",79,50
R00557,Bucharest,Sofia,20:35,06:08 (+1d),Nightjet,"Mon,Wed,Fri",321,194
R00558,Bucharest,Sofia,7:50,12:53,TGV,Mon-Fri,147,96
R00560,Bucharest,Varna,15:55,18:09,TER,Fri-Sun,48,36
R00561,Bucharest,Varna,10:35,14:03,Railjet,"Tue,Thu",112,79
R00567,Budapest,Bratislava,13:00,15:03,Railjet,Mon-Fri,79,52
R00568,Budapest,Bratislava,7:55,11:07,ICE,Sat-Sun,117,78
R00570,Budapest,Debrecen,18:10,19:50,ICE,Fri-Sun,70,42
R00571,Budapest,Debrecen,8:55,10:25,Frecciarossa,"Tue,Thu",58,41
R00588,Burgas,Bucharest,11:55,13:02,Frecciarossa,Fri-Sun,61,37
R00593,Burgas,Varna,17:30,18:24,Thalys,Daily,40,28
R00601,Burgos,Salamanca,14:50,16:30,Railjet,"Tue,Thu",44,27
R00606,Calais,Amiens,16:35,19:28,Italo,Daily,81,51
R00607,Calais,Amiens,17:05,18:16,TGV,"Tue,Thu",51,35
R00609,Calais,Antwerp,13:50,15:51,ICE,Mon-Fri,76,52
R00610,Calais,Antwerp,16:30,19:29,Italo,Sat-Sun,103,69
R00612,Calais,Brussels,15:45,18:38,AVE,Fri-Sun,67,46
R00614,Calais,Lille,6:30,9:08,ICE,"Tue,Thu",82,56
R00615,Calais,Lille,9:45,12:29,Italo,Daily,105,70
R00617,Cambridge,Derby,11:45,13:52,Intercités,"Tue,Thu",49,36
R00620,Cambridge,Leicester,7:05,9:51,Frecciarossa,Mon-Fri,120,79
R00622,Cambridge,Oxford,9:55,14:29,EuroCity,Mon-Fri,108,71
R00623,Cambridge,Oxford,11:25,14:27,Eurostar,Fri-Sun,120,87
R00624,Cambridge,Southampton,5:35,6:58,Italo,"Mon,Wed,Fri",60,40
R00625,Cambridge,Southampton,17:20,20:20,EuroCity,Fri-Sun,54,35
R00626,Cardiff,Bristol,11:50,14:55,IC,Fri-Sun,82,61
R00627,Cardiff,Bristol,18:35,19:36,AVE,Fri-Sun,71,44
R00629,Cardiff,Exeter,13:00,14:56,ICE,Sat-Sun,72,44
R00630,Cardiff,Exeter,15:05,17:17,Intercités,Fri-Sun,60,42
R00632,Cardiff,Glasgow,6:35,9:50,TGV,Fri-Sun,138,89
R00633,Cardiff,Glasgow,13:45,15:42,Italo,Daily,50,31
R00635,Cardiff,Swansea,17:50,21:40,TER,Mon-Fri,73,60
R00638,Cartagena,Alicante,12:00,14:08,RJX,Fri-Sun,75,53
R00639,Cartagena,Alicante,21:00,07:03 (+1d),Nightjet,"Tue,Thu",413,230
R00642,Cartagena,Almería,9:15,11:27,AVE,Mon-Fri,82,59
R00644,Cartagena,Granada,17:25,21:08,Intercités,Mon-Fri,96,61
R00648,Cartagena,Murcia,15:20,17:41,IC,Mon-Fri,48,35
R00649,Cartagena,Murcia,7:25,10:14,AVE,Mon-Fri,111,72
R00651,Catania,Messina,19:25,20:32,ICE,Daily,76,45
R00654,Catania,Palermo,13:05,15:32,ICE,Daily,122,85
R00670,Clermont-Ferrand,Grenoble,9:40,12:00,ICE,Sat-Sun,56,42
R00675,Clermont-Ferrand,Limoges,18:10,20:57,Italo,"Mon,Wed,Fri",72,53
R00678,Clermont-Ferrand,Lyon,19:05,06:49 (+1d),Nightjet,Mon-Fri,357,219
R00683,Cluj-Napoca,Bucharest,9:50,14:28,TER,"Tue,Thu",56,45
R00692,Cologne,Bonn,9:55,14:23,RegioExpress,"Mon,Wed,Fri",51,43
R00696,Cologne,Brussels,9:25,12:52,RE,Fri-Sun,58,42
R00705,Cologne,Heidelberg,9:10,10:28,ICE,Mon-Fri,52,32
R00711,Como,Bergamo,10:40,14:50,RegioExpress,Fri-Sun,50,39
R00712,Como,Bergamo,16:05,18:00,Railjet,Mon-Fri,55,41
R00714,Como,Brescia,6:55,10:18,Italo,"Mon,Wed,Fri",143,86
R00715,Como,Brescia,12:20,16:00,Intercités,"Tue,Thu",75,51
R00718,Como,Milan,9:15,11:07,InterCity,Sat-Sun,36,25
R00721,Como,Turin,11:15,14:16,InterCity,Fri-Sun,72,54
R00727,Copenhagen,Gothenburg,6:50,11:04,RE,"Mon,Wed,Fri",53,39
R00732,Copenhagen,Hamburg,15:35,22:46,Intercités,"Mon,Wed,Fri",149,105
R00738,Copenhagen,Odense,13:45,15:47,Eurostar,"Tue,Thu",97,59
R00745,Cork,Galway,7:50,13:30,RE,"Tue,Thu",71,54
R00749,Cork,Limerick,5:25,8:27,RegioExpress,"Tue,Thu",53,38
R00753,Cork,Reading,14:10,16:15,AVE,Mon-Fri,79,55
R00754,Cuenca,Alicante,12:50,15:29,RJX,"Mon,Wed,Fri",84,53
R00755,Cuenca,Alicante,13:20,14:56,AVE,Sat-Sun,46,31
R00765,Cuenca,Valencia,19:25,05:47 (+1d),Nightjet,Daily,358,187
R00790,Debrecen,Budapest,8:35,10:44,Italo,Sat-Sun,69,48
R00791,Debrecen,Budapest,5:50,9:58,InterCity,"Tue,Thu",109,78
R00799,Debrecen,Szeged,15:50,17:44,InterCity,Fri-Sun,45,30
R00800,Debrecen,Szeged,7:35,10:23,Eurostar,"Tue,Thu",120,89
R00802,Derby,Cambridge,18:55,21:07,Frecciarossa,Mon-Fri,59,38
R00805,Derby,Leicester,12:55,15:23,TGV,Daily,84,54
R00809,Derby,Nottingham,15:00,16:48,Thalys,Daily,81,53
R00810,Derby,Oxford,10:05,13:10,IC,Mon-Fri,95,64
R00811,Derby,Oxford,12:20,15:15,Italo,Mon-Fri,127,85
R00813,Dijon,Annecy,13:15,15:35,Thalys,"Tue,Thu",62,42
R00814,Dijon,Annecy,7:25,10:15,Frecciarossa,Daily,96,60
R00819,Dijon,Reims,15:35,19:03,EuroCity,Fri-Sun,78,51
R00820,Dijon,Reims,6:50,9:44,RegioExpress,Mon-Fri,39,28
R00822,Dijon,Strasbourg,19:20,21:18,InterCity,Fri-Sun,50,32
R00824,Dortmund,Bochum,11:35,14:01,Frecciarossa,Sat-Sun,74,52
R00825,Dortmund,Bochum,19:55,05:42 (+1d),Nightjet,Daily,305,198
R00828,Dortmund,Bonn,16:50,18:42,Thalys,Fri-Sun,66,46
R00829,Dortmund,Bonn,5:55,8:40,AVE,Fri-Sun,81,54
R00835,Dortmund,Essen,15:20,17:20,Eurostar,Sat-Sun,64,43
R00838,Drammen,Bergen,19:10,21:42,IC,Daily,64,41
R00839,Drammen,Bergen,7:10,10:08,Eurostar,Fri-Sun,121,83
R00850,Drammen,Trondheim,10:40,13:17,AVE,"Tue,Thu",97,69
R00851,Drammen,Trondheim,12:20,14:42,Eurostar,Mon-Fri,112,72
R00857,Dresden,Leipzig,17:10,20:02,TGV,Fri-Sun,71,50
R00858,Dresden,Leipzig,15:30,17:26,ICE,"Tue,Thu",87,56
R00860,Dresden,Potsdam,9:30,11:35,EuroCity,"Mon,Wed,Fri",36,28
R00861,Dresden,Potsdam,19:05,06:21 (+1d),Nightjet,Fri-Sun,381,210
R00865,Dresden,Rostock,8:45,11:48,Italo,Daily,101,65
R00867,Dublin,Brighton,19:15,20:34,RJX,Daily,61,41
R00871,Dublin,Cork,10:30,13:34,RJX,Fri-Sun,123,77
R00872,Dublin,Cork,12:00,15:29,Italo,Daily,95,58
R00875,Dublin,Galway,12:35,18:01,RegioExpress,Fri-Sun,73,55
R00878,Dublin,Reading,18:30,20:19,AVE,Mon-Fri,45,30
R00879,Dublin,Reading,11:10,13:58,InterCity,Fri-Sun,70,47
R00893,Edinburgh,Bristol,6:15,8:05,Railjet,"Mon,Wed,Fri",60,39
R00895,Edinburgh,Glasgow,13:45,16:24,RJX,Sat-Sun,97,68
R00898,Edinburgh,Newcastle,7:40,10:56,InterCity,Daily,71,47
R00899,Edinburgh,Newcastle,7:25,9:54,TGV,"Tue,Thu",107,75
R00901,Edinburgh,York,6:15,8:03,TER,Sat-Sun,31,25
R00902,Edinburgh,York,8:00,9:08,Eurostar,Fri-Sun,44,30
R00905,Eindhoven,The Hague,17:25,19:23,InterCity,Mon-Fri,49,36
R00907,Eindhoven,Utrecht,17:35,20:11,Railjet,Daily,76,54
R00908,Eindhoven,Utrecht,12:20,13:39,AVE,Fri-Sun,58,35
R00911,Essen,Bochum,8:00,9:38,TGV,Mon-Fri,54,39
R00915,Essen,Dortmund,14:35,17:15,Italo,"Mon,Wed,Fri",82,56
R00920,Essen,Hannover,15:35,18:18,ICE,Fri-Sun,79,49
R00921,Essen,Hannover,6:45,11:49,RegioExpress,Fri-Sun,57,44
R00925,Exeter,Cardiff,12:30,14:20,Eurostar,"Tue,Thu",68,41
R00926,Exeter,Nottingham,9:10,12:57,RegioExpress,Mon-Fri,61,44
R00927,Exeter,Nottingham,12:15,13:42,Intercités,"Tue,Thu",39,30
R00930,Exeter,Plymouth,20:30,07:16 (+1d),Nightjet,Daily,372,199
R00931,Exeter,Swansea,19:00,20:29,RegioExpress,"Tue,Thu",24,19
R00937,Ferrara,Ravenna,17:00,19:46,Intercités,Sat-Sun,66,50
R00941,Ferrara,Rome,6:15,7:35,Frecciarossa,Fri-Sun,50,34
R00943,Ferrara,Terni,9:45,13:52,RE,Fri-Sun,46,37
R00947,Florence,Arezzo,19:20,04:40 (+1d),Nightjet,Fri-Sun,283,161
R00948,Florence,Arezzo,19:35,22:15,RJX,Mon-Fri,103,64
R00949,Florence,Bologna,10:10,12:30,Eurostar,Fri-Sun,107,72
R00950,Florence,Bologna,13:45,16:22,Frecciarossa,Mon-Fri,64,41
R00956,Florence,Perugia,9:20,11:42,TGV,"Tue,Thu",73,51
R00959,Florence,Pisa,9:10,11:56,Italo,Sat-Sun,75,50
R00960,Florence,Pisa,14:45,18:10,RE,Sat-Sun,61,47
R00963,Florence,Rome,8:30,10:29,AVE,Fri-Sun,69,49
R00980,Frankfurt,Cologne,6:05,7:58,RJX,Sat-Sun,63,45
R00982,Frankfurt,Heidelberg,19:50,22:24,TGV,Fri-Sun,139,85
R00983,Frankfurt,Heidelberg,15:00,16:33,InterCity,Fri-Sun,67,45
R00987,Frankfurt,Mannheim,7:05,9:13,Frecciarossa,Sat-Sun,77,56
R00996,Galway,Dublin,12:05,14:12,ICE,"Mon,Wed,Fri",55,38
R00997,Galway,Dublin,11:35,14:16,TER,Mon-Fri,47,34
R01001,Galway,Waterford,7:35,9:42,Railjet,Sat-Sun,81,57
R01002,Galway,Waterford,9:05,10:54,InterCity,Fri-Sun,37,28
R01023,Gdynia,Sopot,10:55,14:09,RJX,"Mon,Wed,Fri",124,76
R01027,Gdynia,Warsaw,9:35,10:20,AVE,"Mon,Wed,Fri",36,26
